dataset,split,doc_id,file_name,document_type,url,chars,words,approx_tokens,spans_count,annotation_sets_count,annotations_count,empty
contractnli,train,109,FSMAApprovedConfidentiality-MutualDistributor-FSMA4002.pdf,search-pdf,https://www.fsmaonline.com/assets/docs/FSMAApprovedConfidentiality-MutualDistributor-FSMA4002.pdf,12078,1764,3020,84,1,17,False
contractnli,train,110,Facility-Tour-Confidentiality-and-Non-Disclosure.pdf,search-pdf,https://www.swmoa.org/wp-content/uploads/Facility-Tour-Confidentiality-and-Non-Disclosure.pdf,2674,364,669,20,1,17,False
contractnli,train,111,Florida-Non-Disclosure-Agreement-NDA-Template.pdf,search-pdf,https://eforms.com/images/2018/02/Florida-Non-Disclosure-Agreement-NDA-Template.pdf,5075,715,1269,55,1,17,False
contractnli,train,112,Focus-Group-APIC-Seattle-Confidentiality-Agreement-031115.pdf,search-pdf,http://www.kenall.com/Kenall-Files/HTML-Images/PDFs/Focus-Group-APIC-Seattle-Confidentiality-Agreement-031115.pdf,2906,443,727,22,1,17,False
contractnli,train,113,FormEConfidentialityandNon.pdf,search-pdf,http://www.mccc.edu/nursing/documents/FormEConfidentialityandNon.pdf,10438,1561,2610,62,1,17,False
contractnli,train,114,GSAOP0309-Non-disclosure-agreement.pdf,search-pdf,https://www.gsa.europa.eu/sites/default/files/procurement/GSAOP0309-Non-disclosure-agreement.pdf,15989,2402,3998,213,1,17,False
contractnli,train,115,GTC_CEII_Non_Disclosure_Agmt_05111_revised.pdf,search-pdf,http://www.oatioasis.com/GTC/GTCdocs/GTC_CEII_Non_Disclosure_Agmt_05111_revised.pdf,13859,1961,3465,178,1,17,False
contractnli,train,116,Geheimhaltungsvereinbarung_Abschlussarbeiten_HFU_englisch.pdf,search-pdf,https://www.hs-furtwangen.de/fileadmin/Redaktion/Share/Formulare/Geheimhaltungsvereinbarung_Abschlussarbeiten_HFU_englisch.pdf,5253,804,1314,62,1,17,False
contractnli,train,118,GreenStorm%20NDCSC.pdf,search-pdf,http://www.greenstorm.com.au/PDF/GreenStorm%20NDCSC.pdf,10966,1592,2742,107,1,17,False
contractnli,train,119,Grindrod%20SA%20Confidentiality%20and%20Non-Disclosure%20Undertaking.pdf,search-pdf,http://www.grindrod.com/Uploads/Grindrod%20SA%20Confidentiality%20and%20Non-Disclosure%20Undertaking.pdf,5288,753,1322,38,1,17,False
contractnli,train,120,HALO-NDA.pdf,search-pdf,https://www.haloelectronics.com/pdf/HALO-NDA.pdf,4061,527,1016,52,1,17,False
contractnli,train,121,eulerhermes-nda.pdf,search-pdf,https://www.eulerhermes.com/content/dam/onemarketing/ehndbx/common/united-states/documents/other/eulerhermes-nda.pdf,6109,936,1528,38,1,17,False
contractnli,train,122,example-NDA-one-way-short-form-2012-1.pdf,search-pdf,http://www.newleaflaw.co.uk/wp-content/uploads/2012/04/example-NDA-one-way-short-form-2012-1.pdf,3583,550,896,43,1,17,False
contractnli,train,123,for-41-supplier-confidentiality-agreement-and-non-disclosure-agreement.pdf,search-pdf,https://www.gov.mb.ca/housing/pubs/procurement/for-41-supplier-confidentiality-agreement-and-non-disclosure-agreement.pdf,1856,264,464,23,1,17,False
contractnli,train,124,form_NondisclosureBlanket.pdf,search-pdf,https://www.rochester.edu/orpa/_assets/pdf/form_NondisclosureBlanket.pdf,4915,756,1229,33,1,17,False
contractnli,train,125,HNBA-2017-18-Confidentiality-Agreement.pdf,search-pdf,https://hnba.com/wp-content/uploads/2017/07/HNBA-2017-18-Confidentiality-Agreement.pdf,9780,1500,2445,54,1,17,False
contractnli,train,126,IBC-PMS-NDA-agreement.pdf,search-pdf,http://www.hcaiinfo.ca/Health-Care-Facility/documents/PMS/IBC-PMS-NDA-agreement.pdf,19716,2998,4929,116,1,17,False
contractnli,train,128,IGC-Non-Disclosure-Agreement-LSE-Sample.pdf,search-pdf,https://www.theigc.org/wp-content/uploads/2016/12/IGC-Non-Disclosure-Agreement-LSE-Sample.pdf,17104,2539,4276,164,1,17,False
contractnli,train,130,INFOMAGNET%20NDA.pdf,search-pdf,https://www.infomagnet.com/sites/default/files/INFOMAGNET%20NDA.pdf,8284,1160,2071,62,1,17,False
contractnli,train,131,IPTK-CO-MutualNon-DisclosureAgreement.pdf,search-pdf,http://cobaltlaw.com/wp-content/uploads/IPTK-CO-MutualNon-DisclosureAgreement.pdf,13538,2059,3385,88,1,17,False
contractnli,train,132,Inaturals_NDA.pdf,search-pdf,http://www.inaturalscience.com/wp-content/uploads/2018/10/Inaturals_NDA.pdf,5204,745,1301,44,1,17,False
contractnli,train,133,JB-Machine-LLC-NDA-1.pdf,search-pdf,http://www.jb-machine.com/wp-content/uploads/2011/05/JB-Machine-LLC-NDA-1.pdf,17265,2602,4317,122,1,17,False
contractnli,train,134,JBF_NDA_rev-2017033-1.pdf,search-pdf,http://justbiofiber.ca/wp-content/uploads/2019/01/JBF_NDA_rev-2017033-1.pdf,10703,1558,2676,53,1,17,False
contractnli,train,135,JHUNDABilateral.pdf,search-pdf,https://www.autm.net/AUTMMain/media/About/Documents/JHUNDABilateral.pdf,5060,729,1265,73,1,17,False
contractnli,train,136,Kenway-NDA-Form-Blank.pdf,search-pdf,https://www.kenway.com/wp-content/uploads/2018/04/Kenway-NDA-Form-Blank.pdf,19024,2957,4756,146,1,17,False
contractnli,train,137,Kerber_Non_Disclosure_Agreement.pdf,search-pdf,http://www.kerberresearch.com/files/Kerber_Non_Disclosure_Agreement.pdf,4849,725,1213,46,1,17,False
contractnli,train,139,LSP-data-protection-form.drc_.pdf,search-pdf,http://www.deafnessresourcecentre.org/wp-content/uploads/2016/12/LSP-data-protection-form.drc_.pdf,4894,709,1224,53,1,17,False
contractnli,train,141,Lead-NDA.pdf,search-pdf,https://www.albright-ip.co.uk/wp-content/uploads/2019/04/Lead-NDA.pdf,3589,540,898,33,1,17,False
contractnli,train,142,LiiON%20NDA%202-27-2015%20v1.0.pdf,search-pdf,http://www.liionllc.com/pdf/LiiON%20NDA%202-27-2015%20v1.0.pdf,12221,1878,3056,85,1,17,False
contractnli,train,143,MelbourneDatathon2017NDA.pdf,search-pdf,http://www.datasciencemelbourne.com/datathon/wp-content/uploads/2014/12/MelbourneDatathon2017NDA.pdf,6121,866,1531,58,1,17,False
contractnli,train,144,helpjuice_production%2Fuploads%2Fupload%2Fimage%2F2329%2Fdirect%2F1526996160411-FullStory+Mutual+Non-Disclosure+Agreement+2018.pdf,search-pdf,https://s3.amazonaws.com/helpjuice-static/helpjuice_production%2Fuploads%2Fupload%2Fimage%2F2329%2Fdirect%2F1526996160411-FullStory+Mutual+Non-Disclosure+Agreement+2018.pdf,10151,1543,2538,57,1,17,False
contractnli,train,145,icc-court-non-disclosure-agreement-english.pdf,search-pdf,https://cdn.iccwbo.org/content/uploads/sites/3/2018/08/icc-court-non-disclosure-agreement-english.pdf,10576,1539,2644,85,1,17,False
contractnli,train,146,ingram-non-disclosure.pdf,search-pdf,http://www.societyofauthors.org/SOA/MediaLibrary/SOAWebsite/Events/ingram-non-disclosure.pdf,4611,648,1153,35,1,17,False
contractnli,train,147,isca-nda.pdf,search-pdf,https://isca.org.sg/media/2240674/isca-nda.pdf,13011,1772,3253,152,1,17,False
contractnli,train,148,khronos-mutual-nda.pdf,search-pdf,https://www.khronos.org/files/khronos-mutual-nda.pdf,7226,1074,1807,54,1,17,False
contractnli,train,149,lti-two-way-cda-template.pdf,search-pdf,https://www.lyotechnology.com/assets/lti-two-way-cda-template.pdf,8936,1338,2234,61,1,17,False
contractnli,train,150,mcgill_mitacs_terms-january2013.pdf,search-pdf,https://www.mitacs.ca/sites/default/files/mcgill_mitacs_terms-january2013.pdf,24293,3735,6074,161,1,17,False
contractnli,train,151,MNDA-V2-2-25-15.pdf,search-pdf,https://partners.adp.com/files/MNDA-V2-2-25-15.pdf,12539,1891,3135,74,1,17,False
contractnli,train,153,MR_NON-DISCLOSURE-AGREEMENT.pdf,search-pdf,http://www.mr-automation.com/wp-content/uploads/2016/10/MR_NON-DISCLOSURE-AGREEMENT.pdf,8803,1352,2201,77,1,17,False
contractnli,train,154,MUTUAL-CONFIDENTIAL-NON-DISCLOSURE.pdf,search-pdf,http://carleton.ca/curo/wp-content/uploads/MUTUAL-CONFIDENTIAL-NON-DISCLOSURE.pdf,8272,1247,2068,70,1,17,False
contractnli,train,155,MUTUAL-NDA-Form-2.pdf,search-pdf,http://seabrookpartnersllc.com/wp-content/uploads/2017/12/MUTUAL-NDA-Form-2.pdf,7168,1100,1792,47,1,17,False
contractnli,train,156,MUTUAL-NON-CIRCUMVENT-and-NON-DISCLOSURE-20.pdf,search-pdf,http://www.thesunterragroup.com/wp-content/uploads/MUTUAL-NON-CIRCUMVENT-and-NON-DISCLOSURE-20.pdf,10448,1494,2612,51,1,17,False
contractnli,train,158,Model%20NDA%20(recommended%20by%20SWA).pdf,search-pdf,https://www.swaindia.org/pdf/Model%20NDA%20(recommended%20by%20SWA).pdf,11230,1676,2808,60,1,17,False
contractnli,train,159,Mutual%20NDA_Confidentiality.pdf,search-pdf,http://www.hicoamerica.com/documentation/Mutual%20NDA_Confidentiality.pdf,10644,1597,2661,70,1,17,False
contractnli,train,160,Mutual%20Non%20Disclosure%20Agreement_0.pdf,search-pdf,https://www.cvssuppliers.com/sites/default/files/Mutual%20Non%20Disclosure%20Agreement_0.pdf,12036,1835,3009,68,1,17,False
contractnli,train,161,Mutual%20Non-Disclosure%20Agreement.pdf,search-pdf,https://samsungknox.com/knoxportal/files/partner-portal/Mutual%20Non-Disclosure%20Agreement.pdf,14081,2183,3521,85,1,17,False
contractnli,train,162,Mutual%20confidentiality%20and%20NDA%20-%20Final%20(2)%20(6)%2003%20July%202015.pdf,search-pdf,http://old.transnetengineering.net/Supply/Lists/Tenders/Attachments/354/Mutual%20confidentiality%20and%20NDA%20-%20Final%20(2)%20(6)%2003%20July%202015.pdf,40672,6096,10168,341,1,17,False
contractnli,train,163,Mutual+Confidentiality+Agreement_1.pdf,search-pdf,http://www.bmcsoftware.es/content/dam/bmc/corporate/Mutual+Confidentiality+Agreement.pdf,11355,1701,2839,86,1,17,False
contractnli,train,164,Mutual-Non-Disclosure-Agreement-EN.pdf,search-pdf,https://www.iprhelpdesk.eu/sites/default/files/newsdocuments/Mutual-Non-Disclosure-Agreement-EN.pdf,13723,2059,3431,102,1,17,False
contractnli,train,166,MutualNDA_The_Knights_of_Unity.pdf,search-pdf,https://www.theknightsofunity.com/files/MutualNDA_The_Knights_of_Unity.pdf,12634,1932,3159,58,1,17,False
contractnli,train,167,MutualNDA_Website.pdf,search-pdf,https://agxfreight.com/wp-content/uploads/2017/11/MutualNDA_Website.pdf,4803,705,1201,38,1,17,False
contractnli,train,168,MutualNonDisclosureAgreement0104.pdf,search-pdf,http://www.incentia.com/support/MutualNonDisclosureAgreement0104.pdf,5164,720,1291,54,1,17,False
contractnli,train,169,Mutual_Nondisclosure_Agreement.pdf,search-pdf,http://www.northeastern.edu/general-counsel/docs/Mutual_Nondisclosure_Agreement.pdf,16693,2487,4174,104,1,17,False
contractnli,train,170,NCDG_Non-disclosure-agreement.pdf,search-pdf,http://cdg.nic.in/img/NCDG_Non-disclosure-agreement.pdf,13444,2058,3361,104,1,17,False
contractnli,train,171,NDA_-_GWI_-_Technohubs_version_V1.pdf,search-pdf,http://www.ncl.kzntechnohubs.co.za/images/Downloads/NDA_-_GWI_-_Technohubs_version_V1.pdf,6372,982,1593,95,1,17,False
contractnli,train,172,NDA_10.pdf,search-pdf,http://www.goldoded.com/image/users/186704/ftp/my_files/Nechasim/Sybil%20Germany%20public%20Co%20Limited/NDA.pdf?id=8535435,11267,1752,2817,78,1,17,False
contractnli,train,173,NDA_13.pdf,search-pdf,http://www.businessinnovationgroup.com.au/wp-content/uploads/2013/10/NDA.pdf,7482,1117,1871,64,1,17,False
contractnli,train,174,NDA_17.pdf,search-pdf,http://www.room2rent.net.nz/images/NDA.pdf,9262,1432,2316,103,1,17,False
contractnli,train,176,NDA_5.pdf,search-pdf,http://web.mit.edu/andersk/Public/NDA.pdf,3563,501,891,32,1,17,False
contractnli,train,177,NDA_6.pdf,search-pdf,http://www.wrtsfranchise.com/wp-content/uploads/2014/03/NDA.pdf,6980,1005,1745,51,1,17,False
contractnli,train,178,NDA_7.pdf,search-pdf,http://www.seyed.tech/EPC/theory/NDA.pdf,4397,697,1100,37,1,17,False
contractnli,train,179,mnda-1110.pdf,search-pdf,https://www.air-watch.com/downloads/legal/mnda-1110.pdf,8704,1306,2176,47,1,17,False
contractnli,train,180,modelnondisclosureagreement1.pdf,search-pdf,https://www.ons.gov.uk/file?uri=%2Faboutus%2Ftransparencyandgovernance%2Ffreedomofinformationfoi%2Fconflictsofinterest%2Fmodelnondisclosureagreement1.pdf,4343,641,1086,38,1,17,False
contractnli,train,182,mutual_non_disclosure_agreement-20171020.pdf,search-pdf,https://www.spadesoleil.com/media/downloads/mutual_non_disclosure_agreement-20171020.pdf,10463,1584,2616,85,1,17,False
contractnli,train,183,nda_1.pdf,search-pdf,https://www.sanmina.com/wp-content/uploads/2016/04/nda.pdf,9393,1368,2349,78,1,17,False
contractnli,train,184,nda_11.pdf,search-pdf,https://www.secure-transportation.co.uk/uploads/3/1/0/8/31083899/nda.pdf,6443,960,1611,62,1,17,False
contractnli,train,186,nda_16.pdf,search-pdf,https://www.rm.dk/siteassets/om-os/a_udbud/hardware-til-prahospitale-koretojer_2/nda.pdf,7570,1120,1893,78,1,17,False
contractnli,train,187,nda_2.pdf,search-pdf,http://www.sonnyboo.com/downloads/individ/nda.pdf,6690,1026,1673,63,1,17,False
contractnli,train,188,nda_3.pdf,search-pdf,https://www.arin.net/about/corporate/agreements/nda.pdf,6566,1014,1642,56,1,17,False
contractnli,train,189,nda_8.pdf,search-pdf,http://www.wareworks.net/downloads/nda.pdf,10827,1716,2707,74,1,17,False
contractnli,train,191,NDA%2009%20for%20website.pdf,search-pdf,http://www.solubest.com/media/NDA%2009%20for%20website.pdf,8255,1237,2064,44,1,17,False
contractnli,train,192,NDA%20Form%20WEB_WITH%20Instructions%20%28RECIPROCAL%29%20%28v%202016-03-18_EN%29.pdf,search-pdf,https://tbdo.crg.eu/sites/default/files/NDA%20Form%20WEB_WITH%20Instructions%20%28RECIPROCAL%29%20%28v%202016-03-18_EN%29.pdf,12575,1853,3144,67,1,17,False
contractnli,train,193,NDA%20UDRC%203-way%20Final.pdf,search-pdf,https://udrc.eng.ed.ac.uk/sites/udrc.eng.ed.ac.uk/files/publications/NDA%20UDRC%203-way%20Final.pdf,10379,1605,2595,74,1,17,False
contractnli,train,194,NDA%20for%20Tender%20Ref%202201000050.pdf,search-pdf,http://www.singaporepools.com.sg/en/tnq/Lists/QuotationTenderAttachmentFiles/Attachments/893/NDA%20for%20Tender%20Ref%202201000050.pdf,11531,1695,2883,97,1,17,False
contractnli,train,195,NDA-2015-2.pdf,search-pdf,http://www.marsdd.com/wp-content/uploads/2014/04/NDA-2015-2.pdf,5952,907,1488,31,1,17,False
contractnli,train,196,NDA-2016-DAB.pdf,search-pdf,http://www.switchdigital.com/wp-content/uploads/2016/05/NDA-2016-DAB.pdf,11805,1884,2952,98,1,17,False
contractnli,train,197,NDA-Agreement-NPAF.pdf,search-pdf,http://npaf.ca/wp-content/uploads/2013/12/NDA-Agreement-NPAF.pdf,15645,2343,3912,95,1,17,False
contractnli,train,198,NDA-Artop-Inno-2017.pdf,search-pdf,http://www.artopcn.com/pdf/NDA-Artop-Inno-2017.pdf,7290,1096,1823,70,1,17,False
contractnli,train,199,NDA-Broker-Seller-for-Company-6-19-17.pdf,search-pdf,https://ast.com/wp-content/uploads/2019/02/NDA-Broker-Seller-for-Company-6-19-17.pdf,10544,1597,2636,65,1,17,False
contractnli,train,200,NDA-CRG-ALL-2.pdf,search-pdf,https://www.corbettrestaurantgroup.com/static/app/pdf/NDA-CRG-ALL-2.pdf,6980,1029,1745,65,1,17,False
contractnli,train,201,NDA-Dollar-General-Portfolio.pdf,search-pdf,https://www.thekasegroup.com/wp-content/uploads/2015/10/NDA-Dollar-General-Portfolio.pdf,8365,1263,2092,85,1,17,False
contractnli,train,202,NDA-Fintricity-Blank.pdf,search-pdf,http://www.fintricity.com/wp-content/uploads/2017/02/NDA-Fintricity-Blank.pdf,11720,1820,2930,85,1,17,False
contractnli,train,203,NDA-Instructions-Agreement-Attachment.pdf,search-pdf,http://tjpa.org/uploads/2017/01/NDA-Instructions-Agreement-Attachment.pdf,20128,2861,5032,174,1,17,False
contractnli,train,204,NDA-M5-Systems.pdf,search-pdf,http://www.m5computersecurity.com/partners/NDA-M5-Systems.pdf,6365,935,1592,53,1,17,False
contractnli,train,206,NDA-ONSemi_IndustryAnalystConf-2011.pdf,search-pdf,http://www.onsemi.com/site/pdf/NDA-ONSemi_IndustryAnalystConf-2011.pdf,9359,1337,2340,70,1,17,False
contractnli,train,207,NDA-Prasad.pdf,search-pdf,http://www.inspiredresearch.com/doc/NDA-Prasad.pdf,6005,848,1502,54,1,17,False
contractnli,train,208,NDA-ROI-Corporation.pdf,search-pdf,http://roicorp.com/wp-content/uploads/2013/01/NDA-ROI-Corporation.pdf,4809,688,1203,25,1,17,False
contractnli,train,209,NDA-STP-Performance-Coating-revC.pdf,search-pdf,https://www.performancecoating.com/wp-content/uploads/2016/12/NDA-STP-Performance-Coating-revC.pdf,11179,1644,2795,80,1,17,False
contractnli,train,210,NDA-Seeed.pdf,search-pdf,https://statics3.seeedstudio.com/fusion/evelyn/NDA-Seeed.pdf,10932,1638,2733,80,1,17,False
contractnli,train,211,NDA-SqillerBetaTesters.pdf,search-pdf,https://sqillerapp.com/NDA-SqillerBetaTesters.pdf,7928,1192,1982,66,1,17,False
contractnli,train,214,NDA-editable.pdf,search-pdf,http://www.mariposalabs.com/cmsdocuments/NDA-editable.pdf,3821,556,956,48,1,17,False
contractnli,train,215,NDA-for-Gar-Kenyon-Suppliers.pdf,search-pdf,https://garkenyon.com/wp-content/uploads/2011/04/NDA-for-Gar-Kenyon-Suppliers.pdf,5220,787,1305,36,1,17,False
contractnli,train,216,NDA-standard.pdf,search-pdf,https://imobisoft.co.uk/wp-content/uploads/2017/07/NDA-standard.pdf,9253,1379,2314,67,1,17,False
contractnli,train,217,NDA.pdf,search-pdf,https://framesdata.com/documents/NDA.pdf,4559,700,1140,41,1,17,False
contractnli,train,219,NDATC.pdf,search-pdf,https://www.kimberly-clark.com/documents/NDATC.pdf,6147,919,1537,42,1,17,False
contractnli,train,220,NDATyre%20Plant.pdf,search-pdf,http://international.go-dove.com/data/Auctions/Auction19472/documents/NDATyre%20Plant.pdf,12801,1976,3201,145,1,17,False
contractnli,train,221,NDA_118.pdf,search-pdf,https://www.magnetforensics.com/wp-content/uploads/2018/01/NDA_118.pdf,10749,1628,2688,71,1,17,False
contractnli,train,222,NDA_22.pdf,search-pdf,http://www.creditintel.co.za/NDA.pdf,12471,2011,3118,120,1,17,False
contractnli,train,223,NDA_English.pdf,search-pdf,https://www.cae.com/media/documents/NDA_English.pdf,10279,1598,2570,60,1,17,False
contractnli,train,224,NDA_Mutual_template2_5_2019.pdf,search-pdf,https://www.tntech.edu/research/pdf/researchcompliance/NDA_Mutual_template2_5_2019.pdf,11882,1753,2971,58,1,17,False
contractnli,train,226,NDA_Sample.pdf,search-pdf,http://www.amemoryjog.com/NDA_Sample.pdf,4519,620,1130,44,1,17,False
contractnli,train,229,NDA_VPI.pdf,search-pdf,http://www.vladi-private-islands.de/pdf/NDA_VPI.pdf,3907,546,977,42,1,17,False
contractnli,train,230,NDA_and_assgmnt_of_ipMar2011.pdf,search-pdf,https://cisloandthomas.com/wp-content/uploads/2012/08/NDA_and_assgmnt_of_ipMar2011.pdf,9551,1459,2388,63,1,17,False
contractnli,train,231,NDA_eng.pdf,search-pdf,https://olportal.ai/static/media/NDA_eng.pdf,9706,1444,2427,62,1,17,False
contractnli,train,232,NDA_for_Raffles_Translation_Website.pdf,search-pdf,http://rafflestranslation.com.sg/wp-content/uploads/2018/06/NDA_for_Raffles_Translation_Website.pdf,9767,1448,2442,68,1,17,False
contractnli,train,233,NDA_template.pdf,search-pdf,http://youwillneverworkagain.com/resources/pdfs/NDA_template.pdf,6216,889,1554,47,1,17,False
contractnli,train,234,NDCA.pdf,search-pdf,http://www.tameracq.com/bb/NDCA.pdf,3615,518,904,30,1,17,False
contractnli,train,235,NDD.pdf,search-pdf,https://documents.acer-remit.eu/wp-content/uploads/NDD.pdf,4050,581,1013,22,1,17,False
contractnli,train,236,nda-employee-template.pdf,search-pdf,https://www.cmu.edu/osp/contracts/contracts-forms/nda-employee-template.pdf,11480,1699,2870,81,1,17,False
contractnli,train,237,nda-format-approved-by-legal-section.pdf,search-pdf,https://canarabank.com/media/7720/nda-format-approved-by-legal-section.pdf,10461,1589,2616,60,1,17,False
contractnli,train,238,nda2.pdf,search-pdf,http://oz.stern.nyu.edu/startups/nda2.pdf,7600,1146,1900,57,1,17,False
contractnli,train,239,nda_19.pdf,search-pdf,http://www.xczone.com/nda.pdf,2040,266,510,27,1,17,False
contractnli,train,240,nda_form_motorola.pdf,search-pdf,http://ifma-chicago.org/downloads/nda_form_motorola.pdf,2711,383,678,42,1,17,False
contractnli,train,241,nda_gtl_inria.pdf,search-pdf,http://194.199.18.197/bundles/gtlweb/documents/nda_gtl_inria.pdf,4557,675,1140,60,1,17,False
contractnli,train,242,nda_pine__en.pdf,search-pdf,http://pineaudit.eu/Download.ashx?url=%2Fmedia%2F71804%2Fnda_pine__en.pdf,8547,1297,2137,80,1,17,False
contractnli,train,243,nda_template_final.pdf,search-pdf,https://www.welfaretech.dk/media/6895/nda_template_final.pdf,14077,1945,3520,132,1,17,False
contractnli,train,244,NEW_moi_ndform.pdf,search-pdf,http://abcnews.go.com/images/GMA/NEW_moi_ndform.pdf,7379,1120,1845,47,1,17,False
contractnli,train,245,NMLS%20Accessibility%20NDA.pdf,search-pdf,https://nationwidelicensingsystem.org/news/Documents/NMLS%20Accessibility%20NDA.pdf,14937,2204,3735,77,1,17,False
contractnli,train,246,NON-DISCLOSURE-AGREEMENT_13.pdf,search-pdf,https://lawforall.co.za/wp-content/uploads/2020/04/NON-DISCLOSURE-AGREEMENT.pdf,3675,585,919,52,1,17,False
contractnli,train,247,NON-Disclosure_Agreement_2.pdf,search-pdf,https://www.cert-in.org.in/PDF/NON-Disclosure_Agreement.pdf,14957,2206,3740,120,1,17,False
contractnli,train,248,NON_DISCLOSURE_AGREEMENT_5.pdf,search-pdf,https://www.startupindia.gov.in/content/dam/invest-india/Templates/public/Tools_templates/internal_templates/Lets_Venture/NON_DISCLOSURE_AGREEMENT.pdf,7260,1121,1815,49,1,17,False
contractnli,train,249,New_York_City_Bar_Association_Model_Form_of_Non-Disclosure_Agreement_2015.pdf,search-pdf,https://www.nycbar.org/pdf/report/New_York_City_Bar_Association_Model_Form_of_Non-Disclosure_Agreement_2015.pdf,33404,5169,8351,189,1,17,False
contractnli,train,250,Non Disclosure Agreement - CP Specific NDA (CreativeNDA-CPS121.1014).pdf,search-pdf,https://www.creativepultrusions.com/index.cfm/group-policy/non-disclosure-agreement/,19253,2969,4814,150,1,17,False
contractnli,train,251,Non-Discl_Reciprocal_2.pdf,search-pdf,https://www.sparkinnovations.com/wp-content/uploads/2015/06/Non-Discl_Reciprocal_2.pdf,6301,885,1576,62,1,17,False
contractnli,train,252,Non-Disclosure-Agreement-1.pdf,search-pdf,https://www.vedrova.be/wp-content/uploads/2017/02/Non-Disclosure-Agreement-1.pdf,3126,487,782,27,1,17,False
